avg_press    volume
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan 54160.268999999986
nan nan
97398.09817983843 55896.278999999995
89303.65230492376 56778.02500000001
81508.58609497624 57668.995
65897.30469932516 59478.80099999998
59691.297436390916 60397.73199999999
53927.046929267686 61326.07999999999
47960.513503124224 62263.892
42525.20191477131 63211.21699999998
37422.4137308173 64168.10199999999
32895.14800449888 65134.59499999999
28376.225767058237 66110.745
24588.27491427143 67096.59999999999
20950.382726568358 68092.20599999999
17436.298959760064 69097.613
14427.573054986253 70112.86899999999
11603.61668135466 71138.02100000001
nan nan
nan nan
4193.147532941764 74273.33499999999
2032.9358119820042 75338.552
65.14521447247662 76413.906
-1764.5644887260685 77499.44500000002
-3600.005456221889 78595.21500000001
-5255.907645913522 79701.26600000003
-6829.912218420395 80817.64600000001
-8315.568067233191 81944.402
-9822.79512131967 83081.58199999998
-11244.965185178706 84229.23500000002
-12663.602815296174 85387.40800000002
-14015.150013996501 86556.14999999998
-15338.589932766807 87735.50799999999
-16636.281489377656 88925.53000000001
-17897.626606348418 90126.26499999996
-19151.876313671582 91337.76
-20360.822889777555 92560.064
-21539.360106223445 93793.224
-22711.497349412646 95037.28900000002
-23825.354992001998 96292.30499999998
-24926.8586175956 97558.32300000002
-26018.89144463884 98835.38800000002
nan nan
-28094.77044413896 101422.86000000004
-29101.393506873283 102733.36000000004
-30062.783684578855 104055.10000000002
-31026.95764858785 105388.12000000001
-31963.82343139215 106732.49
nan nan
-33756.82864958761 109455.41999999998
-34607.35946588353 110834.08000000002
-35418.16926143465 112224.27000000002
-36200.588992002 113626.03000000001
-36909.76802724319 115039.41999999998
-37583.15082004499 116464.49
-38307.38616970757 117901.27000000002
-39023.84450037491 119349.82000000005
-39771.665310422395 120810.18999999997
-40498.18031142215 122282.41999999998
-41245.15871232192 123766.57000000005
-41946.62284503874 125262.66999999998
-42656.54725343664 126770.79000000002
-43355.63246338416 128290.95999999998
-44040.17218595352 129823.22999999998
-44711.08538615346 131367.65999999997
-45365.43666958261 132924.29
-46012.180219695074 134493.15999999997
-46652.32617595601 136074.33000000002
-47278.912561109726 137667.85000000003
-47898.33005148713 139273.76
-48503.74157010747 140892.10999999996
-49095.27653286678 142522.94999999998
-49678.14758610347 144166.32000000007
-50247.27500699825 145822.27999999997
-50808.62153736566 147490.87000000005
-51340.56119745064 149172.14000000004
-51867.00983729068 150866.14000000004
-52370.4890139965 152572.91999999998
-52873.319687078234 154292.52
-53372.694513621595 156024.99
-53859.55158285429 157770.39000000004
-54342.235629342664 159528.75
-54804.08258960259 161300.12999999995
-55276.63707823044 163084.57
-55736.593428142965 164882.12999999995
-56187.62156510872 166692.84
-56629.27431417145 168516.77
-57068.51218795301 170353.95000000004
-57505.17630592352 172204.43
-57927.15576005998 174068.27
-58348.88555661085 175945.50999999998
-58798.371497125714 177836.18999999997
-59154.81970282429 179740.37000000005
-59564.95293301675 181658.10000000003
-59951.33595176206 183589.41999999995
-60365.85187428143 185534.37999999995
-60716.7334283929 187493.0299999999
-61091.10451237191 189465.41
-61476.64987628093 191451.58000000005
-61811.54710297426 193451.58000000005
-62161.04531617096 195465.45999999996
-62531.4107548113 197493.27
-62843.3014363909 199535.06000000003
-63202.42568307923 201590.87000000005
-63529.32957635591 203660.75
-63822.588179705075 205744.75999999998
-64139.64848362909 207842.93
-64445.196203699066 209955.31999999995
-64750.35075706074 212081.9700000001
-65049.52243139215 214222.93999999997
-65353.455537865535 216378.25999999998
-65623.57636065983 218548.0
-65902.41928942763 220732.18999999997
-66184.06993826543 222930.87999999995
-66452.75991327169 225144.12999999995
-66730.00461134716 227371.98
-66975.83556635841 229614.4700000001
-67231.75045938515 231871.66999999995
-67494.97794451387 234143.60000000003
-67745.25699975007 236430.33000000005
-67981.51865133717 238731.89999999997
-68211.99549587602 241048.3599999999
-68446.87686778307 243379.75999999992
-68665.31354136465 245726.1400000001
-68889.22583304175 248087.5499999999
