Pressure    Volume
nan nan
nan nan
nan nan
nan nan
nan nan
nan 17129.255999999998
nan nan
nan 17939.098999999995
nan nan
960819.4642308659 18774.073999999997
nan nan
nan 19634.564000000002
669114.9555979355 20074.496999999996
593144.1003851965 20520.951999999997
nan nan
nan 21433.624
410345.8274295065 21899.935999999994
359370.5435674723 22372.962999999992
nan 22852.753
279389.2058459214 23339.352999999996
248536.47272658613 23832.811999999994
213107.35342270898 24333.178000000007
186055.1094045821 24840.498000000007
165789.2317988419 25354.821999999993
145537.16000881168 25876.196
126611.51902442095 26404.668999999998
109481.3281671702 26940.288
96335.4959444864 27483.102999999996
84752.83512235648 28033.159999999985
75474.17168038772 28590.50800000001
61658.77239476334 29155.195000000003
56102.231047834845 29727.267999999996
50850.39931306647 30306.77600000001
44218.261923212485 30893.766999999996
38919.10807439577 31488.288999999993
34974.704101837866 32090.38900000001
29788.226975579055 32700.116999999984
28325.243700276937 33317.518999999986
26157.70304859013 33942.643999999986
23051.13190533736 34575.539
22020.075243957705 35216.25300000001
19546.457438318226 35864.83400000002
17402.095986404835 36521.33000000001
14913.658694486405 37185.789
13978.619187512588 37858.258000000016
11345.955314816214 38538.786
10619.948477656091 39227.42099999999
9301.752394624875 39924.211
8425.184125767875 40629.202999999994
6801.329953726083 41342.446
6192.706490030212 42063.988000000005
4892.491964539275 42793.87699999999
4373.622405683535 43532.161
3645.968442929494 44278.886999999995
2891.0643853023666 45034.104000000014
2463.3501298004026 45797.85899999998
1390.8501608232968 46570.20200000001
1430.8710850498992 47351.179
1318.236405284558 48140.83900000001
1216.6619488679676 48939.22999999999
962.9655440667194 49746.40000000001
777.1234843214007 50562.39599999998
571.8609835369084 51387.267
355.73593076483513 52221.060999999994
-356.53874693298604 53063.82499999998
-205.62484056588872 53915.60899999998
17.48363686602719 54776.45900000003
-47.254156861721796 55646.424
-140.18995036541665 56525.550999999985
-269.92666207609506 57413.89000000001
-386.8838263769411 58311.48699999999
-401.2735178699572 59218.39100000003
-500.1631658864891 60134.648999999976
-514.7896653080568 61060.310999999994
-515.1365468780807 61995.42299999998
-503.21109523702415 62940.03399999999
-518.6289770070782 63894.19200000002
-557.1490523995154 64857.94400000001
-520.7449538842334 65831.33900000002
-438.30555157293685 66814.42500000002
-461.56462831682154 67807.25
-454.57468815519763 68809.86199999998
-483.19874686789905 69822.30799999999
-447.11125294684797 70844.637
-424.64348291581445 71876.897
-447.3742052824431 72919.13599999998
-459.53996329088216 73971.40099999998
-409.72964854062275 75033.741
-401.043506277281 76106.20400000001
-373.9651391403401 77188.83700000003
-373.55521685651814 78281.68999999997
-354.73633378061305 79384.80899999998
-368.7461049965093 80498.24299999999
-328.25718251470926 81622.04000000001
-297.42123069836236 82756.24699999999
-292.3636254144211 83900.91299999997
-270.7039172378788 85056.08599999998
-253.17811264133258 86221.814
-270.03365401476833 87398.14400000001
-230.4825359369061 88585.12600000002
-233.74139592754528 89782.80600000003
-217.79779420421528 90991.23199999999
-207.87307616319475 92210.45399999998
-209.57829589097142 93440.51800000001
-190.7965674773225 94681.473
-197.30943507353854 95933.36700000003
-195.338843664183 97196.24799999998
-191.57116188709932 98470.16299999997
-190.84315847586672 99755.16100000001
-173.5072997711654 101051.29000000002
-182.2097638194767 102358.6
-172.85912659682026 103677.12999999998
-172.26284106465886 105006.93999999997
-168.06317640072723 106348.07000000005
-167.47328919268642 107700.58000000002
-169.8156545840233 109064.5
-162.50919695225326 110439.88999999994
-172.51113720996878 111826.79000000002
-161.63343379321475 113225.25
-159.70511855855122 114635.33000000002
-153.1414870199561 116057.07000000005
-152.81929534176308 117490.51000000001
-145.67568396594564 118935.69999999998
-140.3353438628395 120392.69999999998
-137.88771758439955 121861.55000000002
-141.10833163611454 123342.30000000002
-141.86393085824204 124835.0
-138.0719954498089 126339.68999999997
-134.38680916790662 127856.41999999995
-132.15006899032036 129385.25
-118.96571771457026 130926.20999999998
-126.9755944324027 132479.35999999993
-122.84753270625127 134044.74
-124.22508900375433 135622.40999999997
-119.19784117530463 137212.40999999997
-112.79184600933611 138814.79
-115.92758773992522 140429.59000000003
-119.60670224833697 142056.87000000005
-115.59201294450655 143696.66999999998
-120.08475250082954 145349.04
-115.7217333282301 147014.03
-112.02352461895455 148691.68999999997
-112.67646024194676 150382.06000000003
-118.82779163820744 152085.18999999997
-121.65904004485462 153801.14000000007
-117.65469715419361 155529.93999999997
-121.54879626791717 157271.66
-117.86208749216415 159026.32
-117.41778927287865 160793.99
-117.58677790042267 162574.71
-118.77009725523665 164368.52999999997
-119.465637638941 166175.49000000005
-116.74640134729141 167995.64999999997
-117.14577649774043 169829.05
-117.04907481852352 171675.75
-112.89532146122141 173535.77999999997
-119.90070934169813 175409.20000000004
-116.94681314564899 179196.39000000007
-132.1748072069709 181110.25
-152.40985281580663 183037.7
-192.2406297041766 184978.77000000002
-244.74827628077165 186933.52000000002
-339.9711164606835 188901.99000000005
-473.8114457434252 190884.22999999998
-661.5573534720418 192880.29
-884.6324084869083 194890.22000000006
-1131.643736370846 196914.06000000003
-1399.06917726712 198951.85999999993
-1688.6190927744208 201003.68
-1981.3959114803624 203069.55
-2300.626198829305 205149.52999999994
-2622.1876233131925 207243.66000000003
-2961.427820883686 209352.0
-3295.4796632049342 211474.58999999997
-3648.752902014099 213611.47999999998
-4004.6191033610276 215762.71
-4359.94889779708 217928.33999999997
-4721.227958660625 220108.41000000003
-5080.887879821249 222302.97000000012
-5444.539436480362 224512.06999999995
-5803.754496148036 226735.75999999995
